"District/LEA","District #","School","School #","Private","Charter","T-I Prev.","T-I Curr.","Grades","Address","City","Zip","Map","Link","Stats","Phone","Fax","Chartered By","Opened","Closed","Principal/Director","Principal Name","Principal Email"
"Alpine District","01","Cascade School","108","Public","","Title I","","Pre - 6","860 E 200 N","OREM","84097","geo:40.758148,-111.8835328","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01108","801-610-8102","801-227-8709","","1968","2027","Principal","Darrin Johnson","djohnson@alpinedistrict.org"
"Alpine District","01","Cedar Ridge School","111","Public","","","","Pre - 6","4501 W CEDAR HILLS DR","CEDAR HILLS","84062","geo:40.414756,-111.766286","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01111","801-610-8103","801-763-9537","","1997","2027","Principal","Carl Stubbs","cstubbs@alpinedistrict.org"
"Alpine District","01","Cedar Valley School","112","Public","","","","Pre - 6","40 E CENTER","CEDAR FORT","84013","geo:40.326704,-112.105955","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01112","801-610-8702","801-766-1370","","1907","2026","Principal","Marion Liisa Roden","mroden@alpinedistrict.org"
"Alpine District","01","Centennial Elementary","226","Public","","","","Pre - 6","450 S. 400 East","OREM","84097","geo:40.7581398,-111.8835072","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01226","801-610-8400","801-610-8516","","2019","2027","Principal","David Turner","dturner@alpinedistrict.org"
"Alpine District","01","Central School","116","Public","","","","Pre - 6","95 N 400 E","PLEASANT GROVE","84062","geo:40.364901,-111.733926","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01116","801-610-8104","801-785-8741","","1950","2027","Principal","Alex Chappell","alexchappell@alpinedistrict.org"
"Alpine District","01","Cherry Hill School","118","Public","","Title I","Title I","Pre - 6","240 E 1650 S","OREM","84058","geo:40.266615,-111.6895","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01118","801-610-8105","801-227-8712","","1965","2027","Principal","Ana Rojas","arojas@alpinedistrict.org"
"Alpine District","01","Deerfield School","119","Public","","","","Pre - 6","4353 W HARVEY BLVD","CEDAR HILLS","84062","geo:40.405652,-111.762726","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01119","801-610-8106","801-796-3145","","2002","2027","Principal","William Shumaker","wshumaker@alpinedistrict.org"
"Alpine District","01","Desert Sky","110","Public","","","","K - 6","1747 E Wildcat Peak","EAGLE MOUNTAIN","84005","geo:0,0","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01110","801-610-8400","801-610-8516","","2023","2027","Administrator","Aaron Stevenson","astevenson@alpinedistrict.org"
"Alpine District","01","Dry Creek School","183","Public","","","","Pre - 6","1301 W. 1450 S.","LEHI","84043","geo:40.4139705,-111.8687955","alpineschool.org","https://datagateway.schools.utah.gov/Schools/01183","801-610-8730","801-766-8818","","2014","2027","Principal","Lili Worlton","pdietz@alpinedistrict.org"
"Alpine District","01","Eagle Valley School","121","Public","","","","Pre - 6","4475 N HERITAGE DR","EAGLE MOUNTAIN","84005","geo:40.312559,-112.011596","alpinedistrict.org","https://datagateway.schools.utah.gov/Schools/01121","801-610-8704","801-789-8304","","2004","2027","Principal","Tommy Freeman","tfreeman@alpinedistrict.org"
"Alpine District","01","Eaglecrest School","120","Public","","","","Pre - 6","2760 N 300 W","LEHI","84043","geo:40.422548,-111.8536","alpinedistrict.org","https://datagateway.schools.utah.gov/Schools/01120","801-610-8703","801-768-7039","","1997","2027","Principal","Brittany Fox","brittanyfox@alpinedistrict.org"
"Alpine District","01","Foothill School","123","Public","","","","Pre - 6","921 N 1240 E","OREM","84097","geo:40.314029,-111.667229","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01123","801-610-8107","801-227-2466","","1999","2027","Principal","Kyle Hoopes","kylehoopes@alpinedistrict.org"
"Alpine District","01","Forbes School","124","Public","","Title I","Title I","K - 6","281 N 200 E","AMERICAN FORK","84003","geo:40.382456,-111.793877","alpinedistrict.org","https://datagateway.schools.utah.gov/Schools/01124","801-610-8705","801-756-8571","","1948","2027","Principal","Travis Proctor","tproctor@alpinedistrict.org"
"Alpine District","01","Fox Hollow School","126","Public","","","","Pre - 6","1450 W 3200 N","LEHI","84043","geo:40.428143,-111.873467","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01126","801-610-8706","801-768-2742","","2006","2027","Principal","Erin Gates","eringates@alpinedistrict.org"
"Alpine District","01","Freedom School","125","Public","","","","Pre - 6","10326 N 6800 W","HIGHLAND","84003","geo:40.420005,-111.820173","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01125","801-610-8707","801-766-5272","","2003","2027","Principal","Melissa Allmon","mallmon@alpinedistrict.org"
"Alpine District","01","Greenwood School","132","Public","","Title I","Title I","Pre - 6","50 E 200 S","AMERICAN FORK","84003","geo:40.371981,-111.796901","alpinedistrict.org","https://datagateway.schools.utah.gov/Schools/01132","801-610-8708","801-756-8536","","1956","2027","Principal","Peter Gallant","pgallant@alpinedistrict.org"
"Alpine District","01","Grovecrest School","136","Public","","","","Pre - 6","1037 N 300 E","PLEASANT GROVE","84062","geo:40.374673,-111.737708","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01136","801-610-8109","801-785-8715","","1955","2027","Principal","Michael Larson","mlarson@alpinedistrict.org"
"Alpine District","01","Harbor Point Elementary","101","Public","","","","Pre - 6","4189 S Schooner Drive","SARATOGA SPRINGS","84045","geo:40.28682,-111.87249","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01101","801-610-8400","","","2021","2027","Principal","Kathryn Bowman","kbowman@alpinedistrict.org"
"Alpine District","01","Harvest School","138","Public","","","","Pre - 6","2105 N PROVIDENCE DRIVE","SARATOGA SPRINGS","84045","geo:40.400551,-111.933454","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01138","801-610-8709","801-768-1947","","2006","2027","Principal","Jack Kingsford","jackkingsford@alpinedistrict.org"
"Alpine District","01","Hidden Hollow School","139","Public","","","","Pre - 6","7447 North Hidden Valley Parkway","EAGLE MOUNTAIN","84005","geo:40.361974,-111.984207","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01139","801-610-8721","801-789-7806","","2008","2027","Principal","Sarah Smith","sarahsmith@alpinedistrict.org"
"Alpine District","01","Highland School","140","Public","","","","Pre - 6","10865 N 6000 W","HIGHLAND","84003","geo:40.42892,-111.803673","alpineschool.org","https://datagateway.schools.utah.gov/Schools/01140","801-610-8710","801-763-7001","","1979","2027","Principal","Matthew Killpack","mkillpack@alpinedistrict.org"
"Alpine District","01","Legacy School","146","Public","","","","Pre - 6","28 E 1340 N","AMERICAN FORK","84003","geo:40.402577,-111.797357","alpinedistrict.org","https://datagateway.schools.utah.gov/Schools/01146","801-610-8711","801-756-8568","","1995","2027","Principal","Jill Hanson","jillhanson@alpinedistrict.org"
"Alpine District","01","Lehi School","148","Public","","","","Pre - 6","765 N CENTER","LEHI","84043","geo:40.39707,-111.850855","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01148","801-610-8712","801-768-7022","","1951","2027","Principal","Tiffinie Littlefield","tiffanielittlefield@alpinedistrict.org"
"Alpine District","01","Liberty Hills Elementary","113","Public","","","","Pre - 6","3501 West 2450 North","LEHI","84048","geo:40.758148,-111.8835328","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01113","801-610-8400","801-610-8516","","2019","2027","Principal","Brady Farr","bfarr@alpinedistrict.org"
"Alpine District","01","Lindon School","156","Public","","","","Pre - 6","30 N MAIN","LINDON","84042","geo:40.338753,-111.714473","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01156","801-610-8111","801-785-8749","","1983","2027","Principal","Ryan Wells","ryanwells@alpinedistrict.org"
"Alpine District","01","Manila School","160","Public","","","","Pre - 6","1726 N 600 W","PLEASANT GROVE","84062","geo:40.382278,-111.748468","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01160","801-610-8112","801-785-8784","","1983","2027","Principal","Misty Hall","mhall@alpinedistrict.org"
"Alpine District","01","Meadow School","154","Public","","","","Pre - 6","176 S 500 W","LEHI","84043","geo:40.385503,-111.858168","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01154","801-610-8713","801-768-7018","","1982","2027","Principal","Andrea Park","apark@alpinedistrict.org"
"Alpine District","01","Mount Mahogany School","161","Public","","Title I","Title I","Pre - 6","618 N 1300 W","PLEASANT GROVE","84062","geo:40.370571,-111.75842","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01161","801-610-8113","801-785-8798","","2000","2027","Principal","Jefferson Clark","jeffersonclark@alpinedistrict.org"
"Alpine District","01","Mountain Trails School","205","Public","","","","Pre - 6","3951 NORTH WOOD ROAD","EAGLE MOUNTAIN","84005","geo:40.308272,-112.032103","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01205","801-610-8724","801-789-6080","","2010","2027","Principal","Adam Huffaker","adamhuffaker@alpinedistrict.org"
"Alpine District","01","North Point School","150","Public","","","","Pre - 6","2300 W 1901 N","LEHI","84043","geo:40.410436,-111.887884","alpineschools,org","https://datagateway.schools.utah.gov/Schools/01150","801-610-8722","801-768-0337","","2009","2027","Principal","April Derr","aprilderr@alpinedistrict.org"
"Alpine District","01","Northridge School","155","Public","","","","Pre - 6","1660 N 50 E","OREM","84057","geo:40.327999,-111.694311","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01155","801-610-8114","801-227-8726","","1980","2027","Principal","Kimberly Plank","kplank@alpinedistrict.org"
"Alpine District","01","Orchard School","151","Public","","","","Pre - 6","1035 N 800 E","OREM","84097","geo:40.316383,-111.677646","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01151","801-610-8115","801-227-2433","","1984","2027","Principal","Sean Bowman","seanbowman@alpinedistrict.org"
"Alpine District","01","Orem School","157","Public","","","","Pre - 6","450 W 400 S","OREM","84058","geo:40.290636,-111.706788","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01157","801-610-8116","801-227-8729","","1973","2027","Principal","Ryan Rocque","rrocque@alpinedistrict.org"
"Alpine District","01","Parkside Elementary","216","Public","","Title I","Title I","Pre - 6","668 W 150 North","OREM","84057","geo:40.30004,-111.71156","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01216","801-610-8120","801-227-8738","","2021","2027","Principal","John Shelton","jshelton@alpinedistrict.org"
"Alpine District","01","Pony Express School","153","Public","","","","Pre - 6","3985 E SMITH RANCH RD","EAGLE MOUNTAIN","84005","geo:40.358922,-111.96694","ponyexpress.alpineschools.org","https://datagateway.schools.utah.gov/Schools/01153","801-610-8714","801-789-2604","","2002","2027","Principal","Peter Swiderski","pswiderski@alpinedistrict.org"
"Alpine District","01","Ridgeline School","165","Public","","","","Pre - 6","6250 W 11800 N","HIGHLAND","84003","geo:40.446513,-111.808099","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01165","801-610-8715","801-492-0263","","2006","2027","Principal","Timothy Pead","tpead@alpinedistrict.org"
"Alpine District","01","River Rock School","201","Public","","","","Pre - 6","520 North 1700 West","LEHI","84043","geo:40.3937097,-111.8764976","www.alpineschools.org","https://datagateway.schools.utah.gov/Schools/01201","801-610-8731","801-768-7060","","2015","2027","Principal","Brian Ridge","bridge@alpinedistrict.org"
"Alpine District","01","Riverview School","219","Public","","","","Pre - 6","273 W ASPEN HILLS BLVD","SARATOGA SPRINGS","84045","geo:40.391566,-111.92988","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01219","801-610-8726","801-766-2252","","2011","2027","Principal","Nathan Webb","nathanwebb@alpinedistrict.org"
"Alpine District","01","Rocky Mountain School","162","Public","","","","Pre - 6","55 S 500 E","LINDON","84042","geo:40.3366,-111.702467","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01162","801-610-8117","801-796-3133","","1996","2027","Principal","Zachary Eagar","zeagar@alpinedistrict.org"
"Alpine District","01","Sage Hills School","167","Public","","","","Pre - 6","3033 SWAINSON AVE","SARATOGA SPRINGS","84045","geo:40.306648,-111.895001","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01167","801-610-8723","801-341-5915","","2009","2027","Principal","Terri Rigby","trigby@alpinedistrict.org"
"Alpine District","01","Saratoga Shores School","163","Public","","","","Pre - 6","1415 S PARKSIDE DR","SARATOGA SPRINGS","84045","geo:40.335594,-111.920612","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01163","801-610-8716","801-766-6443","","2004","2027","Principal","Julie Fleming","jfleming@alpinedistrict.org"
"Alpine District","01","Sego Lily School","164","Public","","","","Pre - 6","550 E 900 N","LEHI","84043","geo:40.398257,-111.841747","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01164","801-610-8717","801-768-7034","","1957","2027","Principal","Helena Mueller","hmueller@alpinedistrict.org"
"Alpine District","01","Serv By Appt","850","Public","","","","Pre - 3","575 N 100 E","AMERICAN FORK","84003","geo:40.388315,-111.796538","","https://datagateway.schools.utah.gov/Schools/01850","801-756-8400","","","2002","","Director","",""
"Alpine District","01","Shelley School","170","Public","","","","Pre - 6","602 N 200 W","AMERICAN FORK","84003","geo:40.388687,-111.802674","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01170","801-610-8718","801-763-7020","","1967","2027","Principal","Christopher McDonald","cmcdonald@alpinedistrict.org"
"Alpine District","01","Silver Lake Elementary","152","Public","","","","Pre - 6","5069 Golden Eagle Road","EAGLE MOUNTAIN","84005","geo:40.350111,-111.96156","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01152","801-640-8400","801-610-8516","","2020","","Principal","Joel Miller","joelmiller@alpinedistrict.org"
"Alpine District","01","Snow Springs School","172","Public","","","","Pre - 6","850 S 1700 W","LEHI","84043","geo:40.377807,-111.87769","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01172","801-610-8719","801-768-7049","","2000","2027","Principal","Jory Schmidt","jschmidt@alpinedistrict.org"
"Alpine District","01","Springside School","202","Public","","","","Pre - 6","694 South Highpoint Drive","SARATOGA SPRINGS","84045","geo:40.3494704,-111.9152738","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01202","801-610-8732","801-854-5505","","2016","2027","Principal","John Labare III","jlabare@alpinedistrict.org"
"Alpine District","01","Thunder Ridge School","256","Public","","","","Pre - 6","264 N. 750 W","SARATOGA SPRINGS","84045","geo:40.365891,-111.929182","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01256","801-610-8727","801-766-2311","","2011","2027","Principal","Jeff Shirley","jshirley@alpinedistrict.org"
"Alpine District","01","Trailside Elementary","206","Public","","","","Pre - 6","452 N Vineyard Loop Road","VINEYARD","84058","geo:40.30451,-111.74758","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01206","801-610-8400","","","2021","2027","Principal","Edgar Guzman","eguzman@alpinedistrict.org"
"Alpine District","01","Traverse Mountain School","258","Public","","","","Pre - 6","2500 W CHAPEL RIDGE RD","LEHI","84043","geo:40.446351,-111.888568","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01258","801-610-8725","801-701-6280","","2010","2027","Principal","Karie Cooper","kcooper@alpinedistrict.org"
"Alpine District","01","Vineyard School","177","Public","","","","Pre - 6","620 E HOLDAWAY RD","VINEYARD","84058","geo:40.289164,-111.73761","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01177","801-610-8122","801-227-2454","","1979","2027","Principal","Lori Bellitti","lbelitti@alpinedistrict.org"
"Alpine District","01","Westfield School","180","Public","","","","Pre - 6","380 S LONG DR","ALPINE","84004","geo:40.448029,-111.7905","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01180","801-610-8720","801-763-7044","","2000","2027","Principal","Heather Stewart","hstewart@alpinedistrict.org"
"Alpine District","01","Westmore School","178","Public","","Title I","Title I","Pre - 6","1150 S MAIN","OREM","84058","geo:40.276684,-111.696851","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01178","801-610-8123","801-227-8744","","1950","2027","Principal","Victor Larsen","vlarsen@alpinedistrict.org"
"Alpine District","01","Windsor School","182","Public","","Title I","Title I","Pre - 6","1315 N MAIN","OREM","84057","geo:40.321221,-111.696735","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01182","801-610-8124","801-227-8747","","1956","2027","Principal","Jennifer Moore","jmoore@alpinedistrict.org"
"American Heritage School","NZ","American Heritage School Salt Lake Campus","951","Private","","","","K - 12","142 W 200 North","SALT LAKE CITY","84103","geo:40.77414,-111.89529","https://slc.americanheritageschool.org","","801-642-0055","","","2022","","Administrator","","landerson@ahsmail.com"
"American Legacy Academy","MQ","American Legacy Academy","901","Private","","","","K - 6","1526 W 1730 N","PROVO","84604","geo:40.38142,-111.798691","","","801-756-4020","801-756-4020","","2007","","Principal","",""
"American Preparatory Academy","74","American Preparatory Academy","100","Public","Charter","","","K - 6","12892 S PONY EXPRESS RD","DRAPER","84020","geo:40.517489,-111.891825","http://www.americanprep.org","https://datagateway.schools.utah.gov/Schools/74100","801-553-8500","801-576-9300","State Charter School Board (SCSB)","2003","","Superintendent","Carolyn Sharette","jbrennan@apamail.org"
"American Preparatory Academy","74","American Preparatory Academy - Draper #2","130","Public","Charter","","","K - 6","11938 South Lone Peak Parkway","DRAPER","84020","geo:40.516862,-111.891658","http://www.americanprep.org","https://datagateway.schools.utah.gov/Schools/74130","801-810-3590","801-810-3589","State Charter School Board (SCSB)","2013","","Superintendent","Carolyn Sharette","jbrennan@apamail.org"
"Aneth Community School","JB","Aneth Community School","904","Private","","","","Pre - 6","P O BOX 600","MONTEZUMA CREEK","84534","geo:37.260728,-109.303462","http://www.aneth.org/","","435-651-3271","","","1995","","Principal","Rena Yazzie","william.royal@bie.edu"
"Arches Academy","JS","Arches Academy","916","Private","","","","Pre - 9","280 SOUTH 400 EAST","OREM","84097","geo:40.291897,-111.685991","www.archesacademy.com","","801-374-5480","801-374-5491","","2002","","Principal","Annette Warnick","annette.warnick@archesacademy.com"
"Ascent Academies of Utah","2J","Ascent Academies of Utah - West Valley","330","Public","Charter","Title I","Title I","K - 6","5685 West Cilma Drive","WEST VALLEY CITY","84128","geo:40.68806,-112.02658","","https://datagateway.schools.utah.gov/Schools/2J330","801-685-0228","","State Charter School Board (SCSB)","2018","","Principal","Logan Hoopes","lhoopes@ascentutah.org"
"Ascent Academies of Utah","2J","Ascent Academies of Utah Farmington","300","Public","Charter","","","K - 9","22 South 650 West","FARMINGTON","84025","geo:41.0604571,-111.9782869","www.ascentutah.org","https://datagateway.schools.utah.gov/Schools/2J300","385-220-2200","","State Charter School Board (SCSB)","2014","","Principal","Janice Newton","jnewton@ascentutah.org"
"Ascent Academies of Utah","2J","Ascent Academies of Utah Lehi","320","Public","Charter","","","K - 9","2199 W 900 N","LEHI","84043","geo:40.3986691,-111.8870765","http://lehi.ascentutah.org/","https://datagateway.schools.utah.gov/Schools/2J320","385-374-9641","","State Charter School Board (SCSB)","2015","","Principal","Tricia Remington","tremington@ascentutah.org"
"Ascent Academies of Utah","2J","Ascent Academies of Utah Saratoga Springs","100","Public","Charter","","","K - 6","992 Chianti Street","SARATOGA SPRINGS","84043","geo:40.39183,-111.94227","www.ascentutah.org","https://datagateway.schools.utah.gov/Schools/2J100","385-275-0909","","State Charter School Board (SCSB)","2022","","Principal","Jill Hawkins","jhawkins@ascentutah.org"
"Ascent Academies of Utah","2J","Ascent Academies of Utah West Jordan","310","Public","Charter","Title I","Title I","K - 9","5662 W 8200 S","WEST JORDAN","84081","geo:40.602369,-112.0289025","www.AscentUtah.org","https://datagateway.schools.utah.gov/Schools/2J310","385-275-0909","","State Charter School Board (SCSB)","2014","","Principal","Kathy Jean Butkovich","kbutkovich@ascentutah.org"
"Athenian eAcademy","4K","Moab Charter School","100","Public","Charter","","Title I","K - 6","358 E 300 S","MOAB","84532","geo:38.568395,-109.54376","http://www.moabcharterschool.org","https://datagateway.schools.utah.gov/Schools/4K100","435-259-2277","","State Charter School Board (SCSB)","2025","","Principal","Jared Ferguson","jaredferguson@aea.rocks"
"Autism Solutions","AS","Autism Solutions","910","Private","","","","Pre - 6","12222 South 1000 East Ste. 3","DRAPER","84020","geo:40.5288213,-111.8648769","autismsolutionsutah.com","","801-987-3592","","","2017","","Director","",""
"Autism Solutions","AS","Autism Solutions Academy Clearfield","925","Private","","","","K - 4","1295 South State Street","CLEARFIELD","84015","geo:41.0954,-112.00673","","","801-987-3592","","","2024","","Director","","hannah.bitner@autismsolutionsacademy.com"
"Bear River Charter School","3G","Bear River Charter School","100","Public","Charter","Title I","","K - 8","75 S 400 W","LOGAN","84321","geo:41.730152,-111.845523","http://www.brcs-logan.org","https://datagateway.schools.utah.gov/Schools/3G100","435-753-8811","855-661-6118","State Charter School Board (SCSB)","2010","","Director","","p.ehlen@brcs-logan.org"
"Beaver District","02","Belknap School","104","Public","","Title I","Title I","K - 6","500 N 650 E P O BOX 686","BEAVER","84713","geo:38.278523,-112.64197","http://www.bes.beaver.k12.ut.us/","https://datagateway.schools.utah.gov/Schools/02104","435-438-2281","435-438-5385","","1938","","Principal","Brad Harris","brad.harris@beaver.k12.ut.us"
"Beaver District","02","Milford School","108","Public","","Title I","Title I","K - 6","450 S 700 W P O BOX 309","MILFORD","84751","geo:38.393988,-113.01975","http://www.mes.beaver.k12.ut.us/","https://datagateway.schools.utah.gov/Schools/02108","435-387-2841","435-387-5050","","1960","","Principal","Richard Rose","richard.rose@beaver.k12.ut.us"
"Beaver District","02","Minersville School","112","Public","","Title I","Title I","K - 5","450 S 200 W P O BOX 189","MINERSVILLE","84752","geo:38.208521,-112.926699","http://www.min.beaver.k12.ut.us/","https://datagateway.schools.utah.gov/Schools/02112","435-386-2382","435-386-2484","","1960","","Principal","Brian Hollingshead","brian.hollingshead@beaver.k12.ut.us"
"Beehive Science & Technology Academy","3B","Beehive Science & Technology Academy Elementary","100","Public","Charter","","Title I","K - 6","2165 East 9400 South","SANDY","84093","geo:40.58178,-111.82961","www.beehiveacademy.org","https://datagateway.schools.utah.gov/Schools/3B100","801-576-0070","","State Charter School Board (SCSB)","2022","","Principal","Vickie Peterson","vickie.peterson@beehiveacademy.org"
"Bonneville Academy","6L","Bonneville Academy","300","Public","Charter","Title I","Title I","K - 8","800 W Montauk Lane","STANSBURY PARK","84074","geo:40.6376831,-112.3252333","www.bonnevilleacademy.org","https://datagateway.schools.utah.gov/Schools/6L300","435-315-2080","435-268-4520","State Charter School Board (SCSB)","2017","","Administrator","Michael Spendlove",""
"Box Elder District","03","Century School","104","Public","","","","K - 5","5820 N 4800 W PO BOX 159","BEAR RIVER CITY","84301","geo:41.6152,-112.129109","http://www.century.besd.net","https://datagateway.schools.utah.gov/Schools/03104","435-515-4100","435-279-2654","","1964","","Principal","Christian Gittins","dallin.gittins@besd.net"
"Box Elder District","03","Discovery School","125","Public","","","","K - 5","820 N 500 W","BRIGHAM CITY","84302","geo:41.526596,-112.021951","http://www.discovery.besd.net/","https://datagateway.schools.utah.gov/Schools/03125","435-734-4910","435-734-4912","","1995","","Principal","Todd Barrow","todd.barrow@besd.net"
"Box Elder District","03","Fielding School","132","Public","","","","K - 5","98 W MAIN P O BOX 98","FIELDING","84311","geo:41.815021,-112.11749","http://www.fielding.besd.net/","https://datagateway.schools.utah.gov/Schools/03132","435-514-4200","435-458-2702","","1927","","Principal","Ryan Lynn Greene","ryan.greene@besd.net"
"Box Elder District","03","Garland School","136","Public","","","","K - 5","450 S. 100 W.","GARLAND","84312","geo:41.743799,-112.162549","http://www.garland.besd.net/","https://datagateway.schools.utah.gov/Schools/03136","435-515-4300","435-257-2602","","1950","","Principal","Vanica Crane","vanica.crane@besd.net"
